일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2020-08-12,2432.35,13.68,0.57,2414.78,2432.35,2393.27,763735.0,16680056.0,1652303925.0
2020-08-13,2437.53,5.18,0.21,2455.28,2458.17,2412.49,907219.0,18250023.0,1656293275.0
2020-08-14,2407.49,-30.04,-1.23,2427.85,2435.0,2383.69,968125.0,16595686.0,1636857790.0
2020-08-18,2348.24,-59.25,-2.46,2405.84,2419.65,2336.78,909750.0,17572479.0,1596724897.0
2020-08-19,2360.54,12.3,0.52,2370.87,2380.1,2353.17,637965.0,12367503.0,1604983685.0
2020-08-20,2274.22,-86.32,-3.66,2339.91,2357.08,2270.85,903744.0,17101785.0,1546235567.0
2020-08-21,2304.59,30.37,1.34,2306.16,2329.34,2280.97,865736.0,14111672.0,1566780399.0
2020-08-24,2329.83,25.24,1.1,2309.38,2332.33,2283.48,649277.0,11654193.0,1583436465.0
2020-08-25,2366.73,36.9,1.58,2352.15,2369.78,2340.97,771585.0,13567980.0,1608120253.0
2020-08-26,2369.32,2.59,0.11,2367.74,2374.68,2336.98,956478.0,14435847.0,1610120509.0
2020-08-27,2344.45,-24.87,-1.05,2371.95,2373.36,2344.38,913917.0,15184934.0,1593246017.0
2020-08-28,2353.8,9.35,0.4,2362.22,2379.26,2345.28,1297312.0,15539938.0,1599550089.0
2020-08-31,2326.17,-27.63,-1.17,2377.09,2381.5,2326.06,1647818.0,19494384.0,1581099787.0
2020-09-01,2349.55,23.38,1.01,2340.19,2355.9,2331.23,1085245.0,16664315.0,1596297723.0
2020-09-02,2364.37,14.82,0.63,2363.43,2369.57,2341.29,1429273.0,15793103.0,1605940739.0
2020-09-03,2395.9,31.53,1.33,2383.26,2401.78,2382.23,981546.0,17420977.0,1627702404.0
2020-09-04,2368.25,-27.65,-1.15,2332.68,2371.02,2332.68,1351039.0,19692978.0,1609097990.0
2020-09-07,2384.22,15.97,0.67,2369.85,2387.49,2362.42,1197385.0,17183376.0,1620531148.0
2020-09-08,2401.91,17.69,0.74,2402.66,2407.56,2391.43,979357.0,17297864.0,1633223140.0
